"CAS_number"	"Product_name"	"Active_substance"	"Active_substance_original"	"CAS_drugbank"	"Name_drugbank"	"InChiKey_drugbank"	"InChi_drugbank"	"SMILES_drugbank"	"ATC_codes_drugbank"	"Solubility_drugbank"	"MOA_drugbank"	"ID_drugbank"	"CAS_pubchem"	"CID_pubchem"	"Active_substance_pubchem"	"MolecularFormula_pubchem"	"MolecularWeight_pubchem"	"CanonicalSMILES_pubchem"	"IsomericSMILES_pubchem"	"InChI_pubchem"	"InChIKey_pubchem"	"IUPACName_pubchem"	"XLogP_pubchem"	"actMass_pubchem"
"17902-23-7"	"Ftorafur"	"tegafur"	"Tegafur"	"17902-23-7"	"tegafur"	"WFWLQNSHRPWKFK-UHFFFAOYSA-N"	"1S/C8H9FN2O3/c9-5-4-11(6-2-1-3-14-6)8(13)10-7(5)12/h4,6H,1-3H2,(H,10,12,13)"	"FC1=CN(C2CCCO2)C(=O)NC1=O"	"L01BC03|L01BC53"	"14.0 mg/mL"	"The transformation of 2'-deoxyurindylate (dUMP) to 2'-deoxythymidylate (dTMP) is essential in driving the synthesis of DNA and purines in cells 4. Thymidylate synthase catalyzes the conversion of dUMP to dTMP, which is a precursor of thymidine triphosphate (TTP), one of the four deoxyribonucleotides required for DNA synthesis 3. After administration into the body, tegafur is converted into the active antineoplastic metabolite, fluorouracil (5-FU). In tumour cells, 5-FU undergoes phosphorylation to form the active anabolites, including 5-fluorodeoxyuridine monophosphate (FdUMP) 5. FdUMP and reduced folate are bound to thymidylate synthase leading to formation of a ternary complex which inhibits DNA synthesis 5. In addition, 5-fluorouridine-triphosphate (FUTP) is incorporated into RNA causing disruption of RNA functions 5.
Target
Actions
Organism

AThymidylate synthase

inhibitor
Humans"	"DB09256"	"37076-68-9"	5386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"179324-69-7"	"Abormib"	"bortezomib"	"Bortezomib"	"179324-69-7"	"bortezomib"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1"	"CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O"	"L01XX32"	"0.0532 mg/mL"	"The ubiquitin-proteasome pathway is a homeostatic proteolytic pathway for intracellular protein degradation: proteins marked with a poly-ubiquitin chain are degraded to small peptides and free ubiquitin by the proteasome, which is a large multimeric protease.2 Aberrant proteasome-dependent proteolysis, as seen in some malignancies, can lead to uncontrolled cell division, leading to tumorigenesis, cancer growth, and spread.2,4
Bortezomib is a reversible inhibitor of the 26S proteasome, which is made up of a 20S core complexed with a 19S regulatory complex. Individual ß-subunits allow specific catalytic action of the 20S core.3,4 In mammalian cells, bortezomib is a potent inhibitor of the proteasome’s chymotryptic-like activity, which is attributed to the ß5-subunit of the 20S core particle.3 Bortezomib binds to the active site of the threonine hydroxyl group in the ß5-subunit.4 A probing study showed bortezomib also binding to and inhibiting the ß1-subunit, which mediates the caspase-like activity of the proteasome, and ß1i-subunit, which is an altered subunit that is expressed to form immunoproteasomes in response to cell stress or inflammation.3 By inhibiting the proteasome-mediated degradation of key proteins that promote cell apoptosis,2 bortezomib induces a cell cycle arrest during the G2-M phase.10 It is believed that multiple mechanisms, other than proteasome inhibition, may be involved in the anticancer activity of bortezomib.4 The anticancer activity of bortezomib was largely associated with suppression of the NF-<U+03BA>B signalling pathway, resulting in the downregulation of anti-apoptotic target genes and expression of anti-apoptic proteins. This may be explained by bortezomib preventing uncontrolled degradation of I<U+03BA>B, which is an inhibitory protein of NF-<U+03BA>B. NOXA, which is a pro-apoptotic factor, induced by bortezomib selectively in cancer cells; thus, it is suggested to be another key mechanism of bortezomib.4
Target
Actions
Organism

AProteasome subunit beta type-5

inhibitor
Humans

AProteasome subunit beta type-1

inhibitor
Humans"	"DB00188"	"197730-97-5"	387447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"179474-81-8"	"Prucaloprid Zentiva"	"prucalopride succinate"	"Prucalopride Succinate"	"179474-81-8"	"prucalopride"	"ZPMNHBXQOOVQJL-UHFFFAOYSA-N"	"1S/C18H26ClN3O3/c1-24-9-2-6-22-7-3-12(4-8-22)21-18(23)14-11-15(19)16(20)13-5-10-25-17(13)14/h11-12H,2-10,20H2,1H3,(H,21,23)"	"COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1"	"A06AX05"	"0.129 mg/mL"	"Prucalopride acts as a selective stimulator of the 5-HT4 receptors while having no interaction with hERG channel or 5-HT1 receptors which reduces significantly the cardiovascular risk found in other similar drugs.1
5-HT4 receptors can be found throughout the gastrointestinal tract primarily in smooth muscle cells, enterochromaffin cells, and myenteric plexus. Its activation produces the release of acetylcholine which is the major excitatory neurotransmitter in the GI tract.2
Hence, prucalopride stimulates motility by interacting specifically with 5-HT4 receptors in the GI tract which causes a release of acetylcholine and further contraction of the muscle layer of the colon and relaxation of the circular muscle layer leading to the propulsion of luminal content.3
Target
Actions
Organism

A5-hydroxytryptamine receptor 4

agonist
Humans"	"DB06480"	NA	9870009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1801342-60-8"	"Libtayo"	"cemiplimab"	"Cemiplimab"	"1801342-60-8"	"cemiplimab"	NA	NA	NA	"L01XC33"	""	"Binding of the programmed death receptor (PD) ligands PD-L1 and PD-L2, to the PD-1 receptor, which is found on T cells, inhibits T-cell proliferation and cytokine production. The upregulation of PD-1 ligands occurs in some tumors and signaling through this pathway may contribute to the inhibition of active T-cell immune surveillance of tumors. Cemiplimab is a recombinant human immunoglobulin G4 (IgG4) monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2 ligands, causing PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response. In mouse tumor models, blocking PD-1 activity resulted in decreased rates of tumor growth.6
Target
Actions
Organism

AProgrammed cell death protein 1


inhibitor
antibody

Humans"	"DB14707"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180288-69-1"	"Herceptin"	"trastuzumab"	"Trastuzumab"	"180288-69-1"	"trastuzumab"	NA	NA	NA	"L01XC03"	""	"Trastuzumab is a recombinant humanized IgG1 monoclonal antibody against the HER-2 receptor, a member of the epidermal growth factor receptors which is a photo-oncogene. Over-expressed in breast tumour cells, HER-2 overamplifies the signal provided by other receptors of the HER family by forming heterodimers 4. The HER-2 receptor is a transmembrane tyrosine kinase receptor that consists of an extracellular ligand-binding domain, a transmembrane region, and an intracellular or cytoplasmic tyrosine kinase domain. It is activated by the formation of homodimers or heterodimers with other EGFR proteins, leading to dimerization and autophosphorylation and/or transphosphorylation of specific tyrosine residues in EGFR intracellular domains 4. Further downstream molecular signaling cascades are activated, such as the Ras/Raf/mitogen-activated protein kinase (MAPK), the phosphoinositide 3-kinase/Akt, and the phospholipase C<U+03B3> (PLC<U+03B3>)/protein kinase C (PKC) pathways that promote cell growth and survival and cell cycle progression 4. Due to upregulation of HER-2 in tumour cells, hyperactivation of these signaling pathways and abnormal cell proliferation is observed. Trastuzumab binds to the extracellular ligand-binding domain and blocks the cleavage of the extracellular domain of HER-2 to induce its antibody-induced receptor downmodulation 4, and subsequently inhibits HER-2-mediated intracellular signaling cascades. Inhibition of MAPK and PI3K/Akt pathways lead to an increase in cell cycle arrest, and the suppression of cell growth and proliferation 4. Trastuzumab also mediates the activation of antibody-dependent cell-mediated cytotoxicity (ADCC) 6 by attracting the immune cells, such as natural killer (NK) cells, to tumor sites that overexpress HER-2 4. While the drug alone has a minimal potential to induce complement-dependent cytotoxicity (CDC),8 one study demonstrated increased therapeutic effectiveness and a synergistic effect on uterine serous carcinoma cells in vitro when used in combination with pertuzumab, which also has minor effects on CDC alone. This study showed that only the combination of both cell-bound antibodies would be sufficient to bind and activate the complement component 1q (C1q) required to initiate the complement cascade reaction.9
Intrinsic trastuzumab resistance has been noted for some patients with HER-2 positive breast cancer. Mechanisms involving trastuzumab resistance include deficiency of phosphatase and tensin homologue and activation of phosphoinositide 3-kinase, and the overexpression of other surface receptors, such as insulin-like growth factor 6.
Target
Actions
Organism

AReceptor tyrosine-protein kinase erbB-2


binder
antibody

Humans"	"DB00072"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1803171-55-2"	"Ultomiris"	"ravulizumab"	"Ravulizumab"	"1803171-55-2"	"ravulizumab"	NA	NA	NA	"L04AA43"	""	"Complement system activation plays an important role in innate and acquired immunity. Paroxysmal nocturnal hemoglobinuria (PNH) is a hematopoietic stem cell disorder characterized by hemolytic anemia, bone marrow failure, and thrombosis. It is caused by a genetic mutation, leading to complement-mediated hemolysis and deficiencies in glycosylphosphatidylinositol (GPI)-linked proteins such as those involved in fibrinolysis.2 Atypical hemolytic uraemic syndrome (aHUS) is a type of thrombotic microangiopathy also caused by complement dysregulation. It is associated with thrombocytopenia, microangiopathic hemolytic anemia, and end-organ damage.3
Ravulizumab inhibits the terminal complement pathway by binding to C5 with high affinity: this inhibits the cleavage of C5 to C5a, which is a pro-inflammatory and pro-thrombotic anaphylatoxin, and C5b, an initiating subunit of the terminal complement complex (C5b-9), which promotes cell lysis. Since the generation of C5b is blocked, the formation of C5b-9 is also inhibited by ravulizumab.1,4 Ravulizumab inhibits terminal complement-mediated intravascular hemolysis in patients with PNH and complement-mediated thrombotic microangiopathy (TMA) in patients with aHUS.4
Target
Actions
Organism

AComplement C5

inhibitor
Humans"	"DB11580"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1809010-50-1"	"Orladeyo"	"berotralstat"	"Berotralstat"	"1809010-50-1"	"berotralstat"	"UXNXMBYCBRBRFD-MUUNZHRXSA-N"	"1S/C30H26F4N6O/c31-24-10-9-22(28(37-17-18-7-8-18)21-5-1-3-19(11-21)15-35)13-25(24)38-29(41)26-14-27(30(32,33)34)39-40(26)23-6-2-4-20(12-23)16-36/h1-6,9-14,18,28,37H,7-8,16-17,36H2,(H,38,41)/t28-/m1/s1"	"NCC1=CC(=CC=C1)N1N=C(C=C1C(=O)NC1=CC(=CC=C1F)[C@H](NCC1CC1)C1=CC=CC(=C1)C#N)C(F)(F)F"	NA	"0.00238 mg/mL"	"Hereditary angioedema (HAE) is a rare genetic disorder associated with severe swelling of the skin and upper airway.1 It is caused by mutations in the regulatory or coding regions of the gene that encodes C1 inhibitor (SERPING1), which result in either a deficiency (type I) or dysfunction (type II) of C1 inhibitor (C1 esterase inhibitor, C1-INH). C1 inhibitor is a serine protease inhibitor that normally regulates bradykinin production by covalently binding to and inactivating plasma kallikrein.2
Plasma kallikrein is a protease that cleaves high-molecular-weight-kininogen (HMWK) to generate cleaved HMWK (cHMWK).5 During HAE attacks, the levels of plasma kallikrein fall, leading to the cleavage of high-molecular-weight-kininogen and the release of bradykinin, a potent vasodilator that increases vascular permeability. Bradykinin plays a major role in promoting edema and pain associated with HAE.3,5 Patients with HAE cannot properly regulate plasma kallikrein activity due to the deficiency or dysfunction of a serum inhibitor of C1 inhibitor, leading to uncontrolled increases in plasma kallikrein activity and recurrent angioedema attacks.5 Berotralstat is a potent inhibitor of plasma kallikrein that works by binding to plasma kallikrein and blocking its proteolytic activity, thereby controlling excess bradykinin generation.2,5
Target
Actions
Organism

APlasma kallikrein

inhibitor
Humans"	"DB15982"	NA	137528262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1809249-37-3"	"Veklury"	"remdesivir"	"Remdesivir"	"1809249-37-3"	"remdesivir"	"RWWYLEGWBNMMLJ-YSOARWBDSA-N"	"1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21+,23+,24+,27-,42-/m0/s1"	"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1"	NA	""	"COVID-19 is caused by the positive-sense RNA virus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Replication of the viral genome is a key step in the infectious cycle of RNA viruses, including those of the Filoviridae, Paramyxoviridae, Pneumoviridae, and Coronaviridae families, and is carried out by viral RNA-dependent RNA polymerase (RdRp) enzymes or enzyme complexes.9,10 For both SARS-CoV and SARS-CoV-2, the RdRp comprises nsp7, nsp8, and nsp12 subunits under physiological conditions, although functional RdRp complexes can be reassembled in vitro that incorporate only the nsp8 and nsp12 subunits, similar to the Middle East respiratory syndrome coronavirus (MERS-CoV).10
Remdesivir is a phosphoramidite prodrug of a 1'-cyano-substituted adenosine nucleotide analogue that competes with ATP for incorporation into newly synthesized viral RNA by the corresponding RdRp complex.10 Remdesivir enters cells before being cleaved to its monophosphate form through the action of either carboxylesterase 1 or cathepsin A; it is subsequently phosphorylated by undescribed kinases to yield its active triphosphate form remdesivir triphosphate (RDV-TP or GS-443902).9,18 RDV-TP is efficiently incorporated by the SARS-CoV-2 RdRp complex, with a 3.65-fold selectivity for RDV-TP over endogenous ATP.10,18 Unlike some nucleoside analogues, remdesivir provides a free 3'-hydroxyl group that allows for continued chain elongation.10,18 However, modelling and in vitro experiments suggest that at i + 4 (corresponding to the position for the incorporation of the fourth nucleotide following RDV-TP incorporation), the 1'-cyano group of remdesivir sterically clashes with Ser-861 of the RdRp, preventing further enzyme translocation and terminating replication at position i + 3. This mechanism was essentially identical between SARS-CoV, SARS-CoV-2, and MERS-CoV, and genomic comparisons reveal that Ser-861 is conserved across alpha-, beta-, and deltacoronaviruses, suggesting remdesivir may possess broad antiviral activity.10
Considerations for the use of nucleotide analogues like remdesivir include the possible accumulation of resistance mutations. Excision of analogues through the 3'-5' exonuclease (ExoN) activity of replication complexes, mediated in SARS-CoV by the nsp14 subunit, is of possible concern.10 Murine hepatitis viruses (MHVs) engineered to lack ExoN activity are approximately 4-fold more susceptible to remdesivir, supporting the proposed mechanism of action.3 However, the relatively mild benefit of ExoN activity to remdesivir resistance is proposed to involve its delayed chain termination mechanism, whereby additional endogenous nucleotides are incorporated following RDV-TP.10 In addition, serial passage of MHV in increasing concentrations of the remdesivir parent molecule GS-441524 led to the development of resistance mutations F476L and V553L, which maintain activity when transferred to SARS-CoV. However, these mutant viruses are less fit than wild-type in both competition assays and in vivo in the absence of selective pressure.3 To date, no clinical data on SARS-CoV-2 resistance to remdesivir have been described.18
Target
Actions
Organism

AReplicase polyprotein 1ab

inhibitor
SARS-CoV-2

UReplicase polyprotein 1ab

inhibitor
SARS-CoV

UReplicase polyprotein 1ab

inhibitor
Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012)

URNA-directed RNA polymerase L

inhibitor
Zaire ebolavirus (strain Mayinga-76)"	"DB14761"	NA	121304016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18109-81-4"	"Antis"	"butamirate citrate"	"Butamirate Citrate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"18109-81-4"	28891	"Butamirate Citrate"	"C24H37NO10"	499.6	"CCC(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	"CCC(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	"InChI=1S/C18H29NO3.C6H8O7/c1-4-17(16-10-8-7-9-11-16)18(20)22-15-14-21-13-12-19(5-2)6-3;7-3(8)1-6(13,5(11)12)2-4(9)10/h7-11,17H,4-6,12-15H2,1-3H3;13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"JVKMHUAWFDGPTF-UHFFFAOYSA-N"	"2-[2-(diethylamino)ethoxy]ethyl 2-phenylbutanoate;2-hydroxypropane-1,2,3-tricarboxylic acid"	NA	499.24174638
"1812-30-2"	"Akamon"	"bromazepam"	"Bromazepam"	"1812-30-2"	"bromazepam"	"VMIYHDSEFNYJSL-UHFFFAOYSA-N"	"1S/C14H10BrN3O/c15-9-4-5-11-10(7-9)14(17-8-13(19)18-11)12-3-1-2-6-16-12/h1-7H,8H2,(H,18,19)"	"BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1"	"N05BA08"	"0.0399 mg/mL"	"Bromazepam binds to the GABA-A receptor producing a conformational change and potentiating its inhibitory effects. Other neurotransmitters are not influenced.
Target
Actions
Organism

AGABA(A) Receptor

positive allosteric modulator
Humans

AGABA(A) Receptor Benzodiazepine Binding Site

ligand
Humans"	"DB01558"	"1812-30-2"	2441	"Bromazepam"	"C14H10BrN3O"	316.15	"C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3"	"C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3"	"InChI=1S/C14H10BrN3O/c15-9-4-5-11-10(7-9)14(17-8-13(19)18-11)12-3-1-2-6-16-12/h1-7H,8H2,(H,18,19)"	"VMIYHDSEFNYJSL-UHFFFAOYSA-N"	"7-bromo-5-pyridin-2-yl-1,3-dihydro-1,4-benzodiazepin-2-one"	1.7	315.00072
"18198-35-1"	"Briliantinis Zaliasis Valentis"	"brilliant green"	"Brilliant Green"	"18198-35-1"	"brilliant green cation"	"HXCILVUBKWANLN-UHFFFAOYSA-N"	"1S/C27H33N2/c1-5-28(6-2)25-18-14-23(15-19-25)27(22-12-10-9-11-13-22)24-16-20-26(21-17-24)29(7-3)8-4/h9-21H,5-8H2,1-4H3/q+1"	"CCN(CC)C1=CC=C(C=C1)C(C1=CC=CC=C1)=C1C=CC(C=C1)=[N+](CC)CC"	NA	"0.0003 mg/mL"	"Not Available"	"DB11279"	"70165-37-6"	12449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1821-12-1"	"Ammonaps"	"sodium phenylbutyrate"	"Sodium Phenylbutyrate"	"1821-12-1"	"phenylbutyric acid"	"OBKXEAXTFZPCHS-UHFFFAOYSA-N"	"1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12)"	"OC(=O)CCCC1=CC=CC=C1"	"A16AX03"	"0.513 mg/mL"	"Sodium phenylbutyrate is the most commonly used salt used in drug products of phenylbutyric acid. Sodium phenylbutyrate is a pro-drug that rapidly metabolizes to phenylacetate.2 Phenylacetate is conjugated with phenylacetyl-CoA, which in turn combines with glutamine via acetylation to form phenylacetylglutamine. Phenylacetylglutamine is then excreted by the kidneys, thus providing an alternate mechanism of waste nitrogen excretion to the urea cycle.4 Phenylacetylglutamine is comparable to urea, as each molecule contains two moles of nitrogen.2
Target
Actions
Organism

UAromatic-amino-acid aminotransferase

Not Available
Paracoccus denitrificans

UHistone deacetylase

inhibitor
Humans"	"DB06819"	"1716-12-7"	5258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1823078-37-0"	"Kymriah"	"tisagenlecleucel"	"Tisagenlecleucel"	"1823078-37-0"	"tisagenlecleucel"	NA	NA	NA	NA	""	"Tisagenlecleucel is a CD19-directed genetically modified autologous T cell immunotherapy that involves genetically modified autologous T cells isolated from each individual patient. The reprogramming of the patient's T cells uses a lentiviral vector to encode an anti-CD19 chimeric antigen receptor (CAR). The CAR is comprised of a murine single-chain antibody fragment (scFv) specific for CD19, followed by a CD8 hinge and transmembrane region that is fused to the intracellular signaling domains from 4-1BB (CD137) and CD3 zeta.5 These intracellular costimulatory signaling domains increase the expansion, longer-term persistence and potency of CAR T cells1,3; the CD3 zeta component is critical for initiating T-cell activation and antitumor activity, while 4-1BB enhances the expansion and persistence of tisagenlecleucel.5,2 Upon binding to CD19-expressing cells, the CAR transmits a signal to promote T-cell expansion, activation, target cell elimination, and persistence of the tisagenlecleucel cells.5
Target
Actions
Organism

AB-lymphocyte antigen CD19

antibody
Humans"	"DB13881"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1824-52-8"	"Dehydro Comp"	"bemetizide"	"Bemetizide"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1824-52-8"	72070	"Bemetizide"	"C15H16ClN3O4S2"	401.9	"CC(C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl)C3=CC=CC=C3"	"CC(C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl)C3=CC=CC=C3"	"InChI=1S/C15H16ClN3O4S2/c1-9(10-5-3-2-4-6-10)15-18-12-7-11(16)13(24(17,20)21)8-14(12)25(22,23)19-15/h2-9,15,18-19H,1H3,(H2,17,20,21)"	"PYVUMAGVCSQCBD-UHFFFAOYSA-N"	"6-chloro-1,1-dioxo-3-(1-phenylethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide"	2	401.027076
"1825352-65-5"	"Evrysdi"	"risdiplam"	"Risdiplam"	"1825352-65-5"	"risdiplam"	"ASKZRYGFUPSJPN-UHFFFAOYSA-N"	"1S/C22H23N7O/c1-14-9-18(26-29-11-15(2)24-21(14)29)17-10-20(30)28-12-16(3-4-19(28)25-17)27-8-7-23-22(13-27)5-6-22/h3-4,9-12,23H,5-8,13H2,1-2H3"	"CC1=CN2N=C(C=C(C)C2=N1)C1=CC(=O)N2C=C(C=CC2=N1)N1CCNC2(CC2)C1"	NA	"0.0958 mg/mL"	"Spinal muscular atrophy (SMA) is a severe and progressive congenital neuromuscular disease resulting from mutations in the survival of motor neuron 1 (SMN1) gene responsible for making SMN proteins.3 Clinical features of SMA include degeneration of motor neurons in the spinal cord which ultimately leads to muscular atrophy and, in some cases, loss of physical strength.1 SMN proteins are expressed ubiquitously throughout the body and are thought to hold diverse intracellular roles in DNA repair, cell signaling, endocytosis, and autophagy.1 A secondary SMN gene (SMN2) can also produce SMN proteins, but a small nucleotide substitution in its sequence results in the exclusion of exon 7 during splicing in approximately 85% of the transcripts - this means that only ~15% of the SMN proteins produced by SMN2 are functional,1 which is insufficient to compensate for the deficits caused by SMN1 mutations. Emerging evidence suggests that many cells and tissues are selectively vulnerable to reduced SMN concentrations, making this protein a desirable target in the treatment of SMA.1
Risdiplam is an mRNA splicing modifier for SMN2 that increases the inclusion of exon 7 during splicing, which ultimately increases the amount of functional SMN protein produced by SMN2.3 It does so by binding to two sites in SMN2 pre-mRNA: the 5' splice site (5'ss) of intron 7 and the exonic splicing enhancer 2 (ESE2) of exon 7.4"	"DB15305"	NA	118513932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"182815-43-6"	"Colesevelam Hydrochloride Dr. Reddy's Laboratories (Uk)"	"colesevelam hydrochloride"	"Colesevelam Hydrochloride"	"182815-43-6"	"colesevelam"	NA	NA	NA	"C10AC04"	""	"Colesevelam binds bile acids in the intestine and prevents their reabsorption. Colesevelam is not absorbed itself. The depletion of bile acid causes the upregulation of cholesterol 7-alpha-hydroxylase and conversion of cholesterol to bile acid. this increases the production and activity of hydroxymethyl-glutaryl-coenzyme A (HMG-CoA) reductase in the liver as well as an increase in the number of low density lipoprotein (LDL) receptors. This process clears LDL cholesterol from the blood.
Serum triglyceride levels may increase or remain unchanged. The end result is increased clearance of LDL-cholesterol from the blood with decreased serum LDL-cholesterol.
Target
Actions
Organism

ABile acids

binder
Humans"	"DB00930"	"182815-44-7"	60208760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18323-44-9"	"Acnatac"	"clindamycin"	"Clindamycin"	"18323-44-9"	"clindamycin"	"KDLRVYVGXIQJDK-AWPVFWJPSA-N"	"1S/C18H33ClN2O5S/c1-5-6-10-7-11(21(3)8-10)17(25)20-12(9(2)19)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,22-24H,5-8H2,1-4H3,(H,20,25)/t9-,10+,11-,12+,13-,14+,15+,16+,18+/m0/s1"	"[H][C@@](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)([C@H](C)Cl)[C@@]1([H])O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O"	"D10AF01|J01FF01|D10AF51|G01AA10"	"3.1 mg/mL"	"Clindamycin inhibits bacterial protein synthesis by binding to 23S RNA of the 50S subunit of the bacterial ribosome.14 It impedes both the assembly of the ribosome and the translation process.20 The molecular mechanism through which this occurs is thought to be due to clindamycin's three-dimensional structure, which closely resembles the 3'-ends of L-Pro-Met-tRNA and deacylated-tRNA during the peptide elongation cycle - in acting as a structural analog of these tRNA molecules, clindamycin impairs peptide chain initiation and may stimulate dissociation of peptidyl-tRNA from bacterial ribosomes.8
The mechanism through which topical clindamycin treats acne vulgaris is unclear, but may be related to its activity against Propionibacterium acnes, a bacteria that has been associated with acne.12
Target
Actions
Organism

A50S ribosomal protein L1

inhibitor
Staphylococcus aureus (strain NCTC 8325)"	"DB01190"	"18323-44-9"	446598	"Clindamycin"	"C18H33ClN2O5S"	425	"CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl"	"CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl"	"InChI=1S/C18H33ClN2O5S/c1-5-6-10-7-11(21(3)8-10)17(25)20-12(9(2)19)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,22-24H,5-8H2,1-4H3,(H,20,25)/t9-,10+,11-,12+,13-,14+,15+,16+,18+/m0/s1"	"KDLRVYVGXIQJDK-AWPVFWJPSA-N"	"(2S,4R)-N-[(1S,2S)-2-chloro-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide"	2.2	424.179871
"183321-74-6"	"Erlotev"	"erlotinib"	"Erlotinib"	"183321-74-6"	"erlotinib"	"AAKJLRGGTJKAMG-UHFFFAOYSA-N"	"1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)"	"COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2"	"L01XE03"	"0.00891 mg/mL"	"The mechanism of clinical antitumor action of erlotinib is not fully characterized. Erlotinib inhibits the intracellular phosphorylation of tyrosine kinase associated with the epidermal growth factor receptor (EGFR). Specificity of inhibition with regard to other tyrosine kinase receptors has not been fully characterized. EGFR is expressed on the cell surface of normal cells and cancer cells.
Target
Actions
Organism

ANuclear receptor subfamily 1 group I member 2

agonist
Humans

AEpidermal growth factor receptor

antagonist
Humans"	"DB00530"	"183319-69-9"	176870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
